Water Control Zone,Station,Dates,Sample No,Depth,Chlorophyll-a (μg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Deep Bay,DM1,2006/5/15,1,Surface Water,3.8,8.8,0.002,17.5,0.31,2.58,1.6,1.16,26.1,30,5,0.3,15.3,13,7.1,0.24,0.3,0.68,300,140,5.9,80,0.18,2.2
Deep Bay,DM1,2006/6/28,1,Surface Water,89,7.3,0.028,30.1,0.24,2.12,1.2,1.4,30.3,32,1.3,0.3,9.9,14,7.9,0.086,0.24,0.68,770,450,6.7,94,0.48,2.3
Deep Bay,DM1,2006/7/13,1,Surface Water,13,3.8,0.11,24.9,0.47,3.42,2.5,3.02,30.8,17,3.7,0.2,8.2,16,7.8,0.39,0.27,0.65,2200,700,3.9,55,2.1,2.4
Deep Bay,DM1,2006/8/10,1,Surface Water,10,3,0.107,16.2,0.43,4.3,3.9,3.8,29.6,12,10,0.2,5.5,4.2,7.6,0.32,0.17,0.23,19000,8300,3.3,45,3.4,2.6
Deep Bay,DM1,2006/9/8,1,Surface Water,6.9,2.7,0.032,20.1,0.37,4.79,4.1,4.09,29.5,16,6.9,0.2,10.6,5.6,7.1,0.29,0.25,0.44,23000,12000,1.4,19,3.4,2
Deep Bay,DM1,2006/10/9,1,Surface Water,10,3.6,0.019,41.8,0.44,4.19,3.7,3.79,27.4,31,3.3,0.3,21.1,3.2,6.9,0.3,0.25,0.24,1900,750,3.7,52,3.3,2.1
Deep Bay,DM1,2006/11/6,1,Surface Water,8,4.8,0.046,42.3,0.62,6.04,5.5,5.44,24.4,35,6,0.1,22.6,1.7,7.3,0.49,0.27,0.27,4500,3400,2.9,40,4.9,1.8
Deep Bay,DM1,2006/12/5,1,Surface Water,1.6,2.3,0.021,30,0.66,7.17,6.6,6.47,20.9,16,6.6,0.4,22.8,2.1,6.8,0.54,0.25,0.32,7800,4500,3.5,45,5.9,1.4
Deep Bay,DM1,2007/1/19,1,Surface Water,41,6.1,0.018,37.1,0.71,8.38,8,6.18,17.7,24,1.6,0.2,22.4,32,7,0.47,0.17,0.21,15000,11000,4.3,52,5.8,4.2
Deep Bay,DM1,2007/2/2,1,Surface Water,35,5.3,0.157,28,0.77,9.37,9,8.47,15.1,21,5,0.2,21.9,20,7.9,0.45,0.18,0.19,8000,7400,7.1,81,8.1,6
Deep Bay,DM1,2007/3/19,1,Surface Water,4.3,15,0.087,37.2,0.88,8.92,8.3,8.72,20.2,17,6,0.2,23.3,3.8,7.5,0.7,0.32,0.3,11000,8200,4,51,8.1,2.9
Deep Bay,DM1,2007/4/18,1,Surface Water,14,4.2,0.059,28.7,0.55,4.92,4.1,4.62,25.2,25,2.7,0.2,22.2,9.1,7.5,0.44,0.37,0.45,1100,720,5.6,78,3.8,2.8
Deep Bay,DM1,2007/5/14,1,Surface Water,10,4.5,0.16,34.1,0.79,6.12,5.5,5.22,27,31,5.5,0.2,16.6,6.4,7.7,0.62,0.27,0.35,4000,2500,2.5,35,4.6,3.8
Deep Bay,DM1,2007/6/27,1,Surface Water,58,13,0.039,36,1.3,15.02,15,10.02,31.1,32,9.8,0.2,2.5,23,6.7,0.88,0.008,0.013,330000,220000,0.2,3,10,4.4
Deep Bay,DM1,2007/7/16,1,Surface Water,27,6.3,0.013,32.4,0.57,6.64,5.5,5.24,32.3,28,6.2,0.2,5.7,19,6.5,0.45,0.73,0.41,2100,630,5.7,81,4.1,3.8
Deep Bay,DM1,2007/8/13,1,Surface Water,1.1,2.6,0.024,26.1,0.47,5.12,4.4,3.92,28,15,7.2,0.3,12.2,1.1,7,0.39,0.43,0.29,26000,11000,1.8,25,3.2,2.2
Deep Bay,DM1,2007/9/10,1,Surface Water,2,3.4,0.021,28.3,0.38,3.02,2.3,2.62,28.5,28,5.6,0.8,19,2.2,7.2,0.3,0.21,0.51,200,80,3.7,53,1.9,2.2
Deep Bay,DM1,2007/10/8,1,Surface Water,20,2.9,0.067,23.1,1,9.21,9.2,6.71,29.6,10,10,0.3,12.2,3.9,7.1,0.79,0.009,0.003,38000,26000,2,28,6.7,8
Deep Bay,DM1,2007/11/9,1,Surface Water,4.1,1.6,0.017,15.1,0.53,5.59,5.1,4.69,22.4,7.4,5,0.7,23.8,2.2,6.7,0.47,0.25,0.24,3000,2000,5.1,67,4.2,2.1
Deep Bay,DM1,2007/12/8,1,Surface Water,7.9,2.5,0.021,16.2,0.77,9.06,8.8,7.16,18.9,9.4,5.5,0.1,23.7,3.5,6.5,0.63,0.12,0.14,32000,29000,3.1,39,6.9,3.1
Deep Bay,DM1,2008/1/7,1,Surface Water,53,7.7,0.019,51,0.66,8.64,8.2,6.74,18.2,25,4.2,0.5,21.1,9.3,6.8,0.41,0.19,0.25,24000,14000,3.4,41,6.3,6
Deep Bay,DM1,2008/2/25,1,Surface Water,3.4,11,0.022,67.7,0.49,4.38,3.5,3.38,16.7,110,4,1,24.4,12,7.5,0.3,0.29,0.59,2000,900,5.5,65,2.5,5.5
Deep Bay,DM1,2008/3/26,1,Surface Water,0.6,11,0.02,68.1,0.54,4.69,3.7,3.99,20.2,88,4.6,0.1,21.9,5.7,7.3,0.34,0.29,0.7,790,400,3.3,41,3,3.9
Deep Bay,DM1,2008/4/21,1,Surface Water,3.3,4.4,0.038,21.1,0.35,5.1,3.8,4.6,24.7,21,5.6,0.6,13.9,2.7,7.3,0.27,0.3,1,2800,1400,2.4,31,3.3,1.8
Deep Bay,DM1,2008/5/22,1,Surface Water,2.8,2.8,0.047,18.2,0.4,4.03,3.2,3.73,25,14,4.4,1,20,2.3,7.5,0.34,0.21,0.62,3600,1000,4.1,56,2.9,1.1
Deep Bay,DM1,2008/6/24,1,Surface Water,70,13,0.156,29.4,0.34,3.43,2.4,2.23,30.4,26,6.6,0.6,4.4,16,8.3,0.16,0.31,0.72,2700,1900,9.4,128,1.2,4.7
Deep Bay,DM1,2008/7/21,1,Surface Water,14,9,0.027,34.7,0.24,3.48,2.5,2.78,31,38,5.9,0.1,4.8,13,7.3,0.15,0.34,0.64,2000,1200,6.1,85,1.8,3.4
Deep Bay,DM1,2008/8/18,1,Surface Water,22,6.5,0.016,29.1,0.32,3.94,3,3.04,31.5,28,3.4,0.5,10.2,11,6.9,0.23,0.42,0.52,1700,640,6.4,91,2.1,2.5
Deep Bay,DM1,2008/9/17,1,Surface Water,4.9,4.1,0.003,32.3,0.38,3.7,3.1,3.1,30.6,24,6.3,0.1,16.8,4.8,6.2,0.31,0.23,0.37,670,400,1.6,23,2.5,1.4
Deep Bay,DM1,2008/10/15,1,Surface Water,5.4,4.1,0.078,27.7,0.35,3.85,3.3,3.45,26,24,5.9,0.1,20.7,2.4,7.7,0.27,0.22,0.33,1000,510,3.7,51,2.9,1.7
Deep Bay,DM1,2008/11/14,1,Surface Water,32,8.4,0.064,31,0.37,4.12,3.4,3.02,22,50,2.1,0.7,23.3,9.4,7.9,0.28,0.32,0.4,2000,1000,7.7,101,2.3,2.3
Deep Bay,DM1,2008/12/11,1,Surface Water,130,16,0.053,31.9,0.45,5.49,5,4.29,18.6,50,1.1,0.6,23,37,7.7,0.27,0.29,0.2,28000,19000,9.1,111,3.8,7.1
Deep Bay,DM1,2009/1/12,1,Surface Water,190,31,0.034,104.4,0.81,8.64,7.9,5.94,13.8,220,3,0.7,22.7,35,7.5,0.24,0.33,0.41,19000,10000,6,67,5.2,5.6
Deep Bay,DM1,2009/2/11,1,Surface Water,3.5,28,0.012,37.8,0.62,5.26,4.3,4.36,21,180,5.2,0.1,22.2,21,6.9,0.32,0.3,0.66,4700,3600,1,13,3.4,4.8
Deep Bay,DM1,2009/3/4,1,Surface Water,1.7,4,0.02,24.6,0.56,5.34,4.4,5.34,20.5,24,6.1,0.6,20.9,1.2,7.1,0.52,0.23,0.71,2200,1500,3.3,41,4.4,2.5
Deep Bay,DM1,2009/4/15,1,Surface Water,2.5,3.4,0.04,17.6,0.25,2.66,1.5,2.36,25,12,4.8,0.5,23.3,3.7,7.9,0.19,0.22,0.94,100,66,5.6,77,1.2,1.9
Deep Bay,DM1,2009/5/15,1,Surface Water,2.8,4.3,0.017,26.5,0.36,2.91,2,2.51,27.8,22,3.6,0.8,21,3.3,7.2,0.3,0.21,0.7,180,98,4.8,69,1.6,2
Deep Bay,DM1,2009/6/22,1,Surface Water,16,8,0.108,99.6,0.65,6.08,5.7,5.18,30.6,38,8.5,0.1,8.2,7.5,7.4,0.46,0.23,0.15,2400,1800,3.3,46,4.8,4
Deep Bay,DM1,2009/7/23,1,Surface Water,3.4,3.6,0.033,18.8,0.29,2.91,2.1,2.51,30.5,12,6.9,0.4,11,4.4,7.4,0.25,0.3,0.51,1700,820,2.7,39,1.7,1.8
Deep Bay,DM1,2009/8/20,1,Surface Water,4.6,3.7,0.033,14.4,0.32,2.94,2,2.64,33.2,12,8.2,0.4,11.3,3.4,7.3,0.25,0.34,0.6,1200,520,4.8,71,1.7,2.1
Deep Bay,DM1,2009/9/23,1,Surface Water,12,13,0.092,27.1,0.53,5.17,4.7,4.87,29.3,52,8.3,0.2,11.2,9.4,7.4,0.44,0.26,0.21,4200,1900,3.9,54,4.4,5.4
Deep Bay,DM1,2009/10/19,1,Surface Water,9.8,5,0.093,25.2,0.45,4.49,3.9,4.29,26.7,24,4.6,0.5,22.1,4.9,7.7,0.38,0.26,0.33,990,620,4.9,70,3.7,2.4
Deep Bay,DM1,2009/11/16,1,Surface Water,5.5,4.5,0.057,28.5,0.78,9.15,8.8,8.45,19.5,18,8.2,0.3,19.4,3.3,7.3,0.65,0.17,0.18,22000,17000,4.1,50,8.1,3.5
Deep Bay,DM1,2009/12/5,1,Surface Water,180,24,0.064,95.6,0.94,11.44,11,8.74,19,91,3.9,0.2,16.7,34,7.3,0.46,0.2,0.24,55000,35000,5.1,60,8.3,13
Deep Bay,DM1,2010/1/15,1,Surface Water,1.1,3.4,0.021,24.4,0.5,6.63,6,6.23,15.6,24,6.1,0.5,21.3,3.2,7.2,0.39,0.27,0.36,31000,24000,4.5,51,5.6,3.2
Deep Bay,DM1,2010/2/6,1,Surface Water,1.4,2.9,0.043,47.5,0.46,5.92,4.7,5.62,19.6,27,7,0.2,19.5,3.9,7.5,0.41,0.5,0.72,2100,2000,5.9,72,4.4,4.7
Deep Bay,DM1,2010/3/5,1,Surface Water,1.5,16,0.028,115.2,0.42,3.79,2.6,3.49,24.4,130,5.6,0.1,22.1,8.7,7.4,0.34,0.39,0.8,880,580,4.8,65,2.3,7
Deep Bay,DM1,2010/4/15,1,Surface Water,1.5,4.5,0.017,24.8,0.51,4.12,3.1,3.82,21.8,26,5.3,0.2,22.1,3.7,7.2,0.41,0.36,0.66,4700,2800,5.2,68,2.8,3.4
Deep Bay,DM1,2010/5/19,1,Surface Water,3.6,5.4,0.014,30.9,0.33,2.75,1.5,2.35,28.1,33,5,2,14.3,6.1,7.3,0.24,0.34,0.91,460,210,4.3,60,1.1,2.2
Deep Bay,DM1,2010/6/14,1,Surface Water,3.1,4.1,0.019,25.5,0.41,3.36,2.4,2.96,29.1,24,7.9,0.8,11.1,2.9,7.1,0.35,0.28,0.68,1200,560,4.3,59,2,2.1
Deep Bay,DM1,2010/7/15,1,Surface Water,4.1,3.2,0.015,25.8,0.22,1.99,0.83,1.74,30.5,19,6.1,0.6,10.7,5,7.5,0.19,0.32,0.84,330,100,4.3,61,0.58,1.5
Deep Bay,DM1,2010/8/11,1,Surface Water,12,3.4,0.023,22,0.24,2.26,1.6,1.96,31,18,4.3,0.2,17.2,4.5,7.3,0.19,0.21,0.45,810,220,2.5,37,1.3,1.7
Deep Bay,DM1,2010/9/9,1,Surface Water,9.3,3.3,0.052,23.2,0.36,4.9,4.2,4.2,30.9,16,10,0.2,11.5,5.3,7.2,0.29,0.36,0.34,10000,3800,2.7,39,3.5,1.7
Deep Bay,DM1,2010/10/6,1,Surface Water,2.7,2.6,0.023,21,0.31,4.17,3.3,3.47,25.3,14,8.3,0.2,16.8,2,7.2,0.26,0.37,0.5,10000,4900,3.5,46,2.6,20
Deep Bay,DM1,2010/11/8,1,Surface Water,3.7,6.7,0.023,58.3,0.37,4.37,3.2,3.97,22,56,4.1,0.5,20.8,6.3,7.3,0.23,0.46,0.71,4400,2700,5.2,67,2.8,2.5
Deep Bay,DM1,2010/12/6,1,Surface Water,11,4.4,0.028,29,0.42,6.38,5.5,5.88,22.8,24,6.4,0.5,18.4,4.9,7.1,0.31,0.32,0.56,6900,3500,3.1,40,5,2.5
Deep Bay,DM1,2011/1/6,1,Surface Water,3.1,5.7,0.023,35.3,0.56,9.02,8.3,8.32,14.5,35,8.6,0.5,17.4,3.9,7.1,0.37,0.23,0.49,51000,33000,3.7,40,7.6,4
Deep Bay,DM1,2011/2/7,1,Surface Water,26,6.8,0.043,50.7,0.36,4.33,3.5,3.43,18,46,2.5,0.5,16,15,7.7,0.18,0.18,0.65,820,460,9.3,108,2.6,4.4
Deep Bay,DM1,2011/3/9,1,Surface Water,0.4,3.2,0.011,18.2,0.34,5.35,4.2,4.85,18.2,24,5,0.6,20.3,3.2,7,0.3,0.46,0.69,1000,710,4.7,56,3.7,1.2
Deep Bay,DM1,2011/4/21,1,Surface Water,31,4.6,0.023,14,0.33,2.93,2.3,2.43,24.5,22,1.5,0.8,20.9,7.8,7.4,0.24,0.22,0.41,150,110,5.9,79,1.8,3.5
Deep Bay,DM1,2011/5/6,1,Surface Water,6,3.3,0.012,18.3,0.43,3.2,2.3,2.7,27,17,5.9,0.8,17.7,4.8,7,0.36,0.35,0.55,1100,470,3.7,52,1.8,2.8
Deep Bay,DM1,2011/6/3,1,Surface Water,10,3.8,0.022,19.9,0.37,2.13,1.6,1.53,29.3,16,4.3,0.6,22,5.3,7.5,0.27,0.14,0.39,140,60,4.7,69,1,2.5
Deep Bay,DM1,2011/7/4,1,Surface Water,3.2,5,0.032,26.5,0.39,3.9,2.8,3.4,31.1,30,6.3,0.5,6,1.4,7.2,0.26,0.47,0.63,3500,1800,2.7,37,2.3,1.9
Deep Bay,DM1,2011/8/1,1,Surface Water,0.9,3.1,0.022,22.2,0.33,2.85,2,2.35,29.5,18,6.5,0.7,15.9,2.5,7.3,0.25,0.31,0.54,4100,1800,2.6,38,1.5,1
Deep Bay,DM1,2011/9/1,1,Surface Water,2.7,5.3,0.021,25.7,0.37,3.1,1.9,2.6,30.2,40,5.9,0.8,16.3,4.9,7.3,0.28,0.48,0.72,290,89,3.3,47,1.4,1.6
Deep Bay,DM1,2011/10/17,1,Surface Water,4.1,5.3,0.027,15.6,0.38,4.69,3.3,3.89,26.1,35,8,1,12.2,2.8,7.2,0.29,0.4,0.99,34000,23000,2.8,37,2.5,3.1
Deep Bay,DM1,2011/11/11,1,Surface Water,1.1,3,0.022,10.8,0.34,4.18,3,3.48,22.4,13,4.2,1,17.7,1.1,7.3,0.29,0.42,0.76,16000,8800,5,64,2.3,1.9
Deep Bay,DM1,2011/12/10,1,Surface Water,11,4.3,0.034,17.1,0.31,4.91,2.4,4.21,17,24,2.4,0.5,20.5,4.7,7.9,0.22,0.51,2,1100,890,9.1,106,1.7,2.8
Deep Bay,DM1,2012/1/14,1,Surface Water,1.4,7.6,0.01,29.4,0.46,7,5.1,5.7,16.2,51,6.7,0.7,18.9,4.8,6.9,0.32,0.6,1.3,7000,6200,3.9,45,3.8,2.9
Deep Bay,DM1,2012/2/10,1,Surface Water,2,2.6,0.006,13.1,0.29,4,1.9,3.7,15.3,16,3.4,1.1,23.1,2.2,7.2,0.24,0.5,1.6,290,250,6.8,78,1.6,1.5
Deep Bay,DM1,2012/3/12,1,Surface Water,1,9,0.004,39.6,0.33,3.4,2.1,2.8,16.1,73,4.3,0.7,22.8,5.9,7,0.21,0.3,1,610,360,5.8,68,1.5,3.4
Deep Bay,DM1,2012/4/25,1,Surface Water,3.1,3.6,0.012,21.6,0.27,3.44,1.8,2.94,25.9,27,7.5,0.8,14.1,2,7.2,0.22,0.34,1.3,610,400,6.8,91,1.3,2
Deep Bay,DM1,2012/5/10,1,Surface Water,3.6,2.5,0.02,14.7,0.3,3.9,2.1,3.5,30.7,15,8.5,0.5,8.6,1.2,7.2,0.25,0.5,1.3,520,220,6,84,1.7,1.9
Deep Bay,DM1,2012/6/7,1,Surface Water,2.1,2.9,0.008,18.6,0.23,2.61,1.2,2.25,29.8,21,5,0.9,16.6,1.2,7.1,0.19,0.31,1.1,120,61,5.2,75,0.84,0.6
Deep Bay,DM1,2012/7/12,1,Surface Water,27,11,0.038,27.5,0.62,11.41,9.8,7.21,31.3,45,17,0.6,0.7,9.6,6.9,0.37,0.77,0.84,91000,56000,2.5,33,5.6,4.8
Deep Bay,DM1,2012/8/2,1,Surface Water,5.3,2.1,0.018,28.4,0.25,2.84,1.5,2.74,31.4,11,12,0.5,8.7,1.4,7.2,0.2,0.37,0.97,6500,3300,3.4,48,1.4,1.2
Deep Bay,DM1,2012/9/3,1,Surface Water,2.4,4,0.016,34.3,0.27,2.97,1.4,2.54,30.6,31,7.7,1.1,14.2,2.1,7.3,0.22,0.57,1,500,140,4.1,59,0.97,1.9
Deep Bay,DM1,2012/10/5,1,Surface Water,1.7,12,0.013,70.6,0.36,3.35,1.5,2.84,27.1,68,7.5,1.2,18.7,1.1,7.4,0.25,0.45,1.4,690,290,4.5,63,0.99,2.3
Deep Bay,DM1,2012/11/15,1,Surface Water,6.1,11,0.011,68.3,0.35,3.48,1.7,2.98,23.7,100,6.4,0.8,21.3,6.6,7.3,0.21,0.48,1.3,1200,840,5.6,74,1.2,3.3
Deep Bay,DM1,2012/12/15,1,Surface Water,1.9,15,0.009,43.8,0.36,5.18,3.3,4.28,20.8,140,8.2,0.6,18.7,10,7,0.18,0.68,1.2,7800,5600,3.7,46,2.4,4.5
Deep Bay,DM1,2013/1/9,1,Surface Water,130,17,0.07,49.2,0.42,6.93,4.9,5.43,17.3,70,3.7,0.9,16.8,15,7.8,0.17,0.63,1.4,46000,25000,9.1,105,3.4,11
Deep Bay,DM1,2013/2/2,1,Surface Water,7.5,29,0.02,123.1,0.7,7.19,6.4,5.49,20.8,200,6.2,1,16.5,9.2,7,0.27,0.27,0.52,16000,14000,2.3,28,4.7,5.2
Deep Bay,DM1,2013/3/18,1,Surface Water,9.3,9.2,0.003,30.6,0.25,2.44,1.1,1.85,22.8,44,4.1,0.1,21.1,15,7.2,0.13,0.14,1.2,770,450,5.4,71,0.51,2.3
Deep Bay,DM1,2013/4/12,1,Surface Water,1,8.7,0.006,24.7,0.22,3.24,2.1,2.44,19.4,30,5.4,0.2,17,1.9,7.1,0.15,0.23,0.91,5100,3700,4.4,53,1.3,2.3
Deep Bay,DM1,2013/5/15,1,Surface Water,2.6,5.1,0.016,21,0.26,2.65,1.3,2.29,27.8,25,8.3,1,15.3,2.6,7.4,0.2,0.25,1.1,280,120,5.4,74,0.94,2
Deep Bay,DM1,2013/6/24,1,Surface Water,2.5,7.8,0.033,51.8,0.53,6.35,6.1,4.85,27.6,39,11,0.5,3.7,3.4,7,0.29,0.089,0.16,560000,220000,1.5,19,4.6,3.6
Deep Bay,DM1,2013/7/11,1,Surface Water,2.5,2.5,0.025,20.2,0.3,2.79,1.4,2.24,31,17,10,0.5,7.3,3.9,7.6,0.27,0.39,1,450,200,4.2,59,0.85,1.5
Deep Bay,DM1,2013/8/7,1,Surface Water,6.5,3.3,0.019,15.4,0.28,2.81,1.8,2.11,31.1,21,8.6,1,10.8,2.7,7.3,0.22,0.37,0.64,2100,720,4.5,64,1.1,2
Deep Bay,DM1,2013/9/5,1,Surface Water,2.6,3.5,0.034,22.6,0.23,3.73,3.1,3.33,26.9,20,9.2,0.5,6,2.5,7.3,0.16,0.16,0.47,88000,29000,3.7,47,2.7,2
Deep Bay,DM1,2013/10/7,1,Surface Water,4.1,11,0.029,71.7,0.36,2.97,1.8,2.57,26.9,95,8,1.3,18.3,6,7.6,0.23,0.41,0.76,2900,850,4.4,61,1.4,4.3
Deep Bay,DM1,2013/11/6,1,Surface Water,5.2,5.5,0.026,55.2,0.29,3.31,1.8,2.91,23.9,35,6,1,19.4,5.7,7.6,0.23,0.41,1.1,5300,3300,4.2,55,1.4,2.5
Deep Bay,DM1,2013/12/11,1,Surface Water,5.3,4.1,0.029,18.9,0.44,10.85,8.3,9.85,20,19,13,0.6,12.6,5,7,0.37,0.85,1.7,270000,180000,2.5,30,7.3,4.8
Deep Bay,DM1,2014/1/2,1,Surface Water,1.7,10,0.011,32.5,0.39,5.24,3.9,4.74,15.8,84,6.9,1.5,20.6,3.7,7.1,0.17,0.52,0.82,17000,11000,3.7,42,3.4,6.3
Deep Bay,DM1,2014/2/19,1,Surface Water,8.2,12,0.016,43.2,0.28,6.64,3.6,5.74,14.3,83,6.6,1,18.8,10,7.4,0.19,0.54,2.5,2000,1300,5.9,65,2.7,6.7
Deep Bay,DM1,2014/3/19,1,Surface Water,3.1,6.5,0.006,48.2,0.22,2.97,1.5,2.57,20.4,57,5.3,1,24.4,5,7.2,0.13,0.17,1.3,3100,2300,3.9,50,1.1,2
Deep Bay,DM1,2014/4/2,1,Surface Water,3.4,8.4,0.017,41.2,0.18,3.67,2.5,2.87,21.3,60,6,0.7,12.5,3.3,7.4,0.11,0.17,1,13000,9300,2.4,29,1.7,4.1
Deep Bay,DM1,2014/5/2,1,Surface Water,3,5.1,0.022,25.1,0.26,3.4,2.2,2.6,25.3,37,7.1,1.5,17.4,1,7.4,0.19,0.25,0.95,430,220,4.5,60,1.4,2.3
Deep Bay,DM1,2014/6/4,1,Surface Water,4.4,5.6,0.049,37.2,0.43,4.9,3.8,4,30.6,33,10,1.5,4.5,9.9,7.3,0.32,0.56,0.54,67000,260,2.7,37,2.9,1.9
Deep Bay,DM1,2014/7/11,1,Surface Water,12,4.7,0.037,22.5,0.37,3.71,2.9,3.41,32.1,23,11,1.2,6.8,8.4,7.2,0.3,0.29,0.52,9900,4500,2.6,37,2.6,2.6
Deep Bay,DM1,2014/8/8,1,Surface Water,8.2,14,0.076,34.1,0.5,6.8,6,5.3,30.9,95,12,1.5,3.5,9.9,7.3,0.3,0.42,0.38,250000,140000,1.3,18,4.5,2.8
Deep Bay,DM1,2014/9/10,1,Surface Water,4,1.6,0.015,13.8,0.23,2.43,1,2.36,31.1,17,7.7,1.5,15.8,1,7.3,0.19,0.48,0.95,150,72,3.5,52,0.93,1.6
Deep Bay,DM1,2014/10/23,1,Surface Water,17,2.8,0.028,15.1,0.24,3.2,1.7,2.43,27.1,15,5.5,1.5,21.8,5.4,7.7,0.19,0.3,1.2,820,290,3.7,52,0.93,2.8
Deep Bay,DM1,2014/11/7,1,Surface Water,5.4,3.4,0.014,28.2,0.31,3.31,1.6,2.91,23.8,27,7.6,1.5,19.1,2.9,7.4,0.23,0.41,1.3,560,350,4.3,56,1.2,2
Deep Bay,DM1,2014/12/6,1,Surface Water,6.6,3.8,0.014,12.6,0.3,3.8,2.6,2.8,18.1,23,4.7,1.7,20.8,2.2,7.5,0.24,0.29,0.91,690,410,6.1,73,1.6,1.7
Deep Bay,DM1,2015/1/19,1,Surface Water,56,15,0.004,30.9,0.26,4.03,2.5,2.83,17.2,75,5.1,0.2,20.4,12,6.8,0.16,0.23,1.3,12000,6700,4.4,51,1.3,7.1
Deep Bay,DM1,2015/2/7,1,Surface Water,18,8,0.004,36.4,0.27,3.37,1.7,2.48,15.8,47,7,1.5,20.9,11,7.3,0.15,0.17,1.5,1200,880,6.4,73,0.81,3.6
Deep Bay,DM1,2015/3/5,1,Surface Water,4.1,17,0.007,81.3,0.48,4.23,1.9,3.43,18.6,150,6.4,0.7,20.5,8.7,7.3,0.2,0.13,2.2,7500,4700,6.9,83,1.1,3.8
Deep Bay,DM1,2015/4/25,1,Surface Water,8.4,3,0.028,21,0.37,5.13,4,4.13,24.7,13,7.1,1.3,20.1,8.1,7.3,0.28,0.28,0.85,5000,2900,4.6,62,3,2.7
Deep Bay,DM1,2015/5/9,1,Surface Water,4.9,6.9,0.012,41.4,0.23,2.28,1,1.91,28.6,56,6.1,0.5,17,7.2,7.4,0.18,0.18,1.1,490,170,5.2,74,0.63,2.5
Deep Bay,DM1,2015/6/13,1,Surface Water,50,18,0.074,44.5,0.58,4.91,3.5,3.21,31.1,68,14,1,4.3,37,7.7,0.29,0.89,0.52,1100,560,5.9,82,1.8,5.7
Deep Bay,DM1,2015/7/18,1,Surface Water,4.5,3.7,0.007,13.1,0.43,2.95,2.1,2.15,31.7,22,11,1.2,14.7,1.5,6.8,0.31,0.35,0.5,2800,1500,3.7,55,1.3,1.6
Deep Bay,DM1,2015/8/3,1,Surface Water,5.3,2.6,0.003,16.5,0.23,2.72,0.88,2.28,31,15,9.3,1,9.2,2.9,6.9,0.16,0.64,1.2,170,90,3.4,49,0.44,2
Deep Bay,DM1,2015/9/12,1,Surface Water,6.8,2.8,0.014,12.9,0.35,3.06,1.6,2.56,29.6,16,9.1,0.6,14.8,4.3,7.2,0.26,0.63,0.83,830,230,4.5,64,1.1,3.4
Deep Bay,DM1,2015/10/10,1,Surface Water,7.4,3.6,0.013,10.5,0.43,4.6,3.1,2.8,27.1,16,13,1.1,8.6,3.4,7.2,0.28,0.63,0.87,2500,800,3.4,45,1.3,2.2
Deep Bay,DM1,2015/11/7,1,Surface Water,8.4,5,0.012,10.4,0.45,4.48,3.1,2.98,26.8,17,8.2,1,15.3,4.6,7.1,0.31,0.52,0.86,47000,32000,3,41,1.6,2.5
Deep Bay,DM1,2015/12/5,1,Surface Water,8.5,6.4,0.015,15.3,0.36,4.83,3.2,3.33,22.2,34,8.6,0.8,16.8,3.4,7.3,0.25,0.53,1.1,200000,180000,3.1,39,1.7,3.6
Deep Bay,DM1,2016/1/11,1,Surface Water,20,4.7,0.03,15.1,0.33,4.07,3.1,2.57,19.4,25,3,1.5,18.6,6.4,7.8,0.2,0.31,0.66,11000,8100,5.6,68,1.6,2.8
Deep Bay,DM1,2016/2/3,1,Surface Water,1.7,6.6,0.006,11.9,0.44,6.97,5.2,4.37,15.3,15,8.7,1,20.6,2,7,0.22,0.67,1.1,560000,360000,3.6,41,2.6,6
Deep Bay,DM1,2016/3/16,1,Surface Water,9.9,4.8,0.006,20,0.26,4.22,2.5,3.12,15.8,26,7.8,1,16,3.9,7.2,0.18,0.32,1.4,8400,6800,4.7,52,1.4,3.5
Deep Bay,DM1,2016/4/13,1,Surface Water,2,9.1,0.017,36,0.34,5.24,4.8,4.04,22.5,66,11,1.2,5,5.1,7,0.2,0.1,0.34,250000,210000,2,24,3.6,5
Deep Bay,DM1,2016/5/12,1,Surface Water,1.1,3.8,0.007,16.7,0.33,2.9,2.1,2.1,27.4,23,10,1.5,7.6,2.9,6.9,0.33,0.17,0.63,4800,1600,3.6,48,1.3,1.3
Deep Bay,DM1,2016/6/3,1,Surface Water,3.6,17,0.021,64.8,0.47,5.34,4.2,3.04,31.4,150,14,1.2,4,5.8,7.1,0.41,0.76,0.38,12000,6100,3.4,47,1.9,6.1
Deep Bay,DM1,2016/7/13,1,Surface Water,3.7,13,0.007,108.2,0.79,6.6,6.2,2.8,28,86,14,1,0.2,9.1,6.6,0.19,0.35,0.045,1100000,550000,1.9,24,2.4,11
