Water Control Zone,Station,Dates,Sample No,Depth,Chlorophyll-a (μg/L),Volatile Suspended Solids (mg/L),Unionised Ammonia (mg/L),Turbidity (NTU),Total Phosphorus (mg/L),Total Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Total Inorganic Nitrogen (mg/L),Temperature (°C),Suspended Solids (mg/L),Silica (mg/L),Secchi Disc Depth (M),Salinity (psu),Phaeo-pigments (μg/L),pH,Orthophosphate Phosphorus (mg/L),Nitrite Nitrogen (mg/L),Nitrate Nitrogen (mg/L),Faecal Coliforms (cfu/100mL),E. coli (cfu/100mL),Dissolved Oxygen (mg/L),Dissolved Oxygen (%saturation),Ammonia Nitrogen (mg/L),5-day Biochemical Oxygen Demand (mg/L)
Deep Bay,DM1,1991/4/18,1,Surface Water,4.8,9.5,0.008,95,0.36,1.16,0.29,1.07,24.9,100,3.8,0.1,19.7,4.5,7.9,0.25,0.096,0.77,150,150,5.8,78,0.2,1.3
Deep Bay,DM1,1991/5/20,1,Surface Water,16,4.5,0.076,31,2.31,4.96,4.2,4.75,27.6,26,5.41,0.4,20.9,6.5,7.5,0.954,0.359,0.401,6800,6200,4,59,3.99,2.9
Deep Bay,DM1,1991/6/14,1,Surface Water,2,4,0.012,30,0.25,1.81,1.27,0.9,27.1,37,4.78,0.6,10.1,3.6,7.7,0.197,0.089,0.448,2300,2100,5.3,70,0.362,0.8
Deep Bay,DM1,1991/7/15,1,Surface Water,45,10,0.076,45,0.49,1.77,0.82,1.61,26,77,0.19,0.4,12.1,28,8.3,0.322,0.296,0.652,3900,2700,7.1,94,0.663,3.7
Deep Bay,DM1,1991/8/29,1,Surface Water,15,28,0.034,160,1.02,4.96,2.64,2.89,27,250,0.16,0.4,14.4,39,8,0.47,1.83,0.492,21000,18000,3.3,45,0.572,2.9
Deep Bay,DM1,1991/9/24,1,Surface Water,5.1,3,0.029,30,0.51,1.72,1.3,1.6,26.2,28,1.7,0.5,25.1,5.2,7.7,0.437,0.203,0.214,800,800,3.7,53,1.18,0.4
Deep Bay,DM1,1991/11/8,1,Surface Water,67,13,0.175,55,1,4.91,4.2,4.5,23.7,66,1.7,0.4,29.5,43,8.1,0.827,0.341,0.364,4600,3800,8.7,116,3.79,5
Deep Bay,DM1,1991/12/9,1,Surface Water,4.5,4.5,0.049,33,0.75,3.33,2.9,3.29,20.9,39,2.7,0.4,28.7,6.1,7.7,0.443,0.149,0.28,1000,800,10.4,126,2.86,1.8
Deep Bay,DM1,1992/1/7,1,Surface Water,0.3,4.5,0.018,28,1.1,8.52,7.97,7.09,17.2,33,6.51,0.4,20.1,1.8,6.2,0.78,0.355,0.194,100000,60000,5.9,67,6.54,3.4
Deep Bay,DM1,1992/2/10,1,Surface Water,<0.2,2,0.022,11,0.79,4.01,3.62,3.85,9.8,12,1.86,0.9,24.9,1.7,7.6,0.485,0.17,0.22,4000,3500,6,82,3.46,2.5
Deep Bay,DM1,1992/3/25,1,Surface Water,0.5,4.5,0.001,32,0.4,2.44,0.66,1.83,21,38,4.24,0.5,22.7,0.4,8,0.128,1.46,0.319,14000,14000,7.4,92,0.046,1.1
Deep Bay,DM1,1992/4/22,1,Surface Water,<0.2,2,0.01,14,0.24,1.48,0.52,1.2,23.7,16,5.1,0.6,15.7,1.1,7.9,0.113,0.28,0.679,2000,2000,6.1,80,0.237,0.9
Deep Bay,DM1,1992/5/22,1,Surface Water,1.1,2,0.041,13,0.9,2.72,2.05,2.68,25.3,17,6.29,0.5,12,0.4,7.6,0.375,0.081,0.592,5000,4500,3.5,50,2.01,1
Deep Bay,DM1,1992/6/19,1,Surface Water,0.5,5.5,0.031,24,0.76,2.67,1.93,2.23,28.9,31,7.67,0.4,6.7,5.8,7.5,0.356,0.156,0.581,9000,9000,4,55,1.49,1.1
Deep Bay,DM1,1992/7/20,1,Surface Water,<0.2,6,0.005,32,0.9,2.72,1.58,2.57,28,40,6,0.2,6.1,5.2,6.7,0.093,0.101,1.04,8500,8000,2.8,38,1.43,1.7
Deep Bay,DM1,1992/8/17,1,Surface Water,2.1,5.5,0.028,37,0.45,3.57,2.5,2.66,29.7,20,3.88,0.2,17.3,1.6,7.4,0.24,0.322,0.744,1000,1000,3.4,49,1.59,2.2
